# : FIRAS 
 
# nu            Sensitivity    
 
68.02081200     3.56393661e+03 
81.62497400     4.85025663e+03 
95.22913600     6.24310218e+03 
108.83329800    5.82964071e+03 
122.43746000    5.58519640e+03 
136.04162200    5.22407012e+03 
149.64578400    4.47111197e+03 
163.24994600    4.46496315e+03 
176.85410800    3.98155333e+03 
190.45827000    3.57409946e+03 
204.06243200    3.33560416e+03 
217.66659400    2.92403015e+03 
231.27075600    2.66674556e+03 
244.87491800    2.55793900e+03 
258.47908000    2.70747278e+03 
272.08324200    2.97934787e+03 
285.68740400    3.52331732e+03 
299.29156600    4.04720120e+03 
312.89572800    4.58666294e+03 
326.49989000    5.25323068e+03 
340.10405200    5.67645780e+03 
353.70821400    5.86976773e+03 
367.31237600    5.88752412e+03 
380.91653800    5.69219294e+03 
394.52070000    5.45646835e+03 
408.12486200    5.21205292e+03 
421.72902400    4.99299746e+03 
435.33318600    4.82149326e+03 
448.93734800    4.71094086e+03 
462.54151000    4.92871849e+03 
476.14567200    5.29883891e+03 
489.74983400    5.84230907e+03 
503.35399600    6.51234600e+03 
516.95815800    7.21314468e+03 
530.56232000    7.69253045e+03 
544.16648200    8.09083651e+03 
557.77064400    8.36310900e+03 
571.37480600    8.88046452e+03 
584.97896800    1.03039988e+04 
598.58313000    1.40090987e+04 
612.18729200    2.21563980e+04 
625.79145400    3.90712563e+04 
639.39561600    7.11103349e+04 
612.18729000    4.95866340e+04 
625.79145200    4.32698764e+04 
639.39561400    3.27500181e+04 
652.99977600    2.36858392e+04 
666.60393800    1.81379032e+04 
680.20810000    1.45157446e+04 
693.81226200    1.24937542e+04 
707.41642400    1.10694785e+04 
721.02058600    1.02282952e+04 
734.62474800    9.68891451e+03 
748.22891000    9.33426724e+03 
761.83307200    9.09663774e+03 
775.43723400    8.93428977e+03 
789.04139600    8.88411626e+03 
802.64555800    8.87497768e+03 
816.24972000    8.89376115e+03 
829.85388200    8.82541720e+03 
843.45804400    8.79944740e+03 
857.06220600    8.82658310e+03 
870.66636800    8.94227690e+03 
884.27053000    8.99902370e+03 
897.87469200    9.09709431e+03 
911.47885400    9.14239723e+03 
925.08301600    9.25432776e+03 
938.68717800    9.48748305e+03 
952.29134000    9.69383004e+03 
965.89550200    9.88512473e+03 
979.49966400    1.00035756e+04 
993.10382600    1.00474550e+04 
1006.70798800   1.00458551e+04 
1020.31215000   1.01179125e+04 
1033.91631200   1.01370699e+04 
1047.52047400   1.00900635e+04 
1061.12463600   9.91097978e+03 
1074.72879800   9.77112961e+03 
1088.33296000   9.79220636e+03 
1101.93712200   9.86684918e+03 
1115.54128400   1.00266126e+04 
1129.14544600   1.01615890e+04 
1142.74960800   1.03303762e+04 
1156.35377000   1.05346498e+04 
1169.95793200   1.07280893e+04 
1183.56209400   1.09040027e+04 
1197.16625600   1.11140664e+04 
1210.77041800   1.13255288e+04 
1224.37458000   1.14752012e+04 
1237.97874200   1.15897812e+04 
1251.58290400   1.17244310e+04 
1265.18706600   1.19454034e+04 
1278.79122800   1.21728817e+04 
1292.39539000   1.24747894e+04 
1305.99955200   1.29082175e+04 
1319.60371400   1.32749337e+04 
1333.20787600   1.37508852e+04 
1346.81203800   1.41484907e+04 
1360.41620000   1.46951701e+04 
1374.02036200   1.52717374e+04 
1387.62452400   1.58707672e+04 
1401.22868600   1.67065800e+04 
1414.83284800   1.76568589e+04 
1428.43701000   1.87817328e+04 
1442.04117200   1.97381613e+04 
1455.64533400   2.10113500e+04 
1469.24949600   2.21143584e+04 
1482.85365800   2.36262543e+04 
1496.45782000   2.53826473e+04 
1510.06198200   2.75235893e+04 
1523.66614400   2.99221061e+04 
1537.27030600   3.24998831e+04 
1550.87446800   3.53952837e+04 
1564.47863000   3.82046280e+04 
1578.08279200   4.10323250e+04 
1591.68695400   4.35878048e+04 
1605.29111600   4.57242469e+04 
1618.89527800   4.69821722e+04 
1632.49944000   4.81412190e+04 
1646.10360200   4.91361612e+04 
1659.70776400   4.95145428e+04 
1673.31192600   4.86198432e+04 
1686.91608800   4.66218544e+04 
1700.52025000   4.45668370e+04 
1714.12441200   4.28621043e+04 
1727.72857400   4.23126791e+04 
1741.33273600   4.25211661e+04 
1754.93689800   4.34208567e+04 
1768.54106000   4.46209961e+04 
1782.14522200   4.57839682e+04 
1795.74938400   4.75974138e+04 
1809.35354600   4.92740560e+04 
1822.95770800   5.15822542e+04 
