# : PIXIE 
 
# nu            Sensitivity    
 
15.00000000     2.45736142e+00 
30.00000000     2.45736142e+00 
45.00000000     2.45736142e+00 
60.00000000     2.45736142e+00 
75.00000000     2.45736142e+00 
90.00000000     2.45736142e+00 
105.00000000    2.46065106e+00 
120.00000000    2.46065106e+00 
135.00000000    2.46394070e+00 
150.00000000    2.46394070e+00 
165.00000000    2.46723034e+00 
180.00000000    2.46723034e+00 
195.00000000    2.47051998e+00 
210.00000000    2.47380962e+00 
225.00000000    2.47709926e+00 
240.00000000    2.48038890e+00 
255.00000000    2.48367854e+00 
270.00000000    2.48696818e+00 
285.00000000    2.49025782e+00 
300.00000000    2.49354746e+00 
315.00000000    2.49683710e+00 
330.00000000    2.50012674e+00 
345.00000000    2.50670602e+00 
360.00000000    2.50999566e+00 
375.00000000    2.51657494e+00 
390.00000000    2.51986458e+00 
405.00000000    2.52644386e+00 
420.00000000    2.52973350e+00 
435.00000000    2.53631279e+00 
450.00000000    2.54289207e+00 
465.00000000    2.54947135e+00 
480.00000000    2.55605063e+00 
495.00000000    2.56262991e+00 
510.00000000    2.56920919e+00 
525.00000000    2.57578847e+00 
540.00000000    2.58236775e+00 
555.00000000    2.58894703e+00 
570.00000000    2.59881595e+00 
585.00000000    2.60539524e+00 
600.00000000    2.61526416e+00 
615.00000000    2.62184344e+00 
630.00000000    2.63171236e+00 
645.00000000    2.63829164e+00 
660.00000000    2.64816056e+00 
675.00000000    2.65802948e+00 
690.00000000    2.66789840e+00 
705.00000000    2.67776733e+00 
720.00000000    2.68763625e+00 
735.00000000    2.69750517e+00 
750.00000000    2.70737409e+00 
765.00000000    2.72053265e+00 
780.00000000    2.73040157e+00 
795.00000000    2.74027049e+00 
810.00000000    2.75342906e+00 
825.00000000    2.76658762e+00 
840.00000000    2.77645654e+00 
855.00000000    2.78961510e+00 
870.00000000    2.80277366e+00 
885.00000000    2.81593222e+00 
900.00000000    2.82909079e+00 
915.00000000    2.84224935e+00 
930.00000000    2.85540791e+00 
945.00000000    2.86856647e+00 
960.00000000    2.88172503e+00 
975.00000000    2.89817324e+00 
990.00000000    2.91133180e+00 
1005.00000000   2.92778000e+00 
1020.00000000   2.94093856e+00 
1035.00000000   2.95738676e+00 
1050.00000000   2.97383497e+00 
1065.00000000   2.99028317e+00 
1080.00000000   3.00673137e+00 
