# : PRISTINE 
 
# nu            Sensitivity    
 
90.00000000     1.53759399e+01 
100.00000000    1.53896623e+01 
110.00000000    1.53965235e+01 
120.00000000    1.53965235e+01 
130.00000000    1.54102459e+01 
140.00000000    1.54171071e+01 
150.00000000    1.54171071e+01 
160.00000000    1.54308295e+01 
170.00000000    1.54376906e+01 
180.00000000    1.54376906e+01 
190.00000000    1.54514130e+01 
200.00000000    1.54651354e+01 
210.00000000    1.54788578e+01 
220.00000000    1.54925802e+01 
230.00000000    1.55063026e+01 
240.00000000    1.55200250e+01 
250.00000000    1.55337474e+01 
260.00000000    1.55474698e+01 
270.00000000    1.55611922e+01 
280.00000000    1.55749146e+01 
290.00000000    1.55886370e+01 
300.00000000    1.56023593e+01 
310.00000000    1.56160817e+01 
320.00000000    1.56298041e+01 
330.00000000    1.56435265e+01 
340.00000000    1.56709713e+01 
350.00000000    1.56915549e+01 
360.00000000    1.57052773e+01 
370.00000000    1.57327221e+01 
380.00000000    1.57533057e+01 
390.00000000    1.57670280e+01 
400.00000000    1.57944728e+01 
410.00000000    1.58150564e+01 
420.00000000    1.58287788e+01 
430.00000000    1.58562236e+01 
440.00000000    1.58836684e+01 
450.00000000    1.59111132e+01 
460.00000000    1.59385579e+01 
470.00000000    1.59660027e+01 
480.00000000    1.59934475e+01 
490.00000000    1.60208923e+01 
500.00000000    1.60483371e+01 
510.00000000    1.60757819e+01 
520.00000000    1.61032266e+01 
530.00000000    1.61306714e+01 
540.00000000    1.61581162e+01 
550.00000000    1.61855610e+01 
560.00000000    1.62198670e+01 
570.00000000    1.62610341e+01 
580.00000000    1.62884789e+01 
590.00000000    1.63227849e+01 
600.00000000    1.63639521e+01 
610.00000000    1.63913969e+01 
620.00000000    1.64257028e+01 
630.00000000    1.64668700e+01 
640.00000000    1.64943148e+01 
650.00000000    1.65286208e+01 
660.00000000    1.65697880e+01 
670.00000000    1.66109551e+01 
680.00000000    1.66521223e+01 
690.00000000    1.66932895e+01 
700.00000000    1.67344567e+01 
710.00000000    1.67756238e+01 
720.00000000    1.68167910e+01 
730.00000000    1.68579582e+01 
740.00000000    1.68991254e+01 
750.00000000    1.69402925e+01 
760.00000000    1.69951821e+01 
770.00000000    1.70432105e+01 
780.00000000    1.70843776e+01 
790.00000000    1.71255448e+01 
800.00000000    1.71735732e+01 
810.00000000    1.72284628e+01 
820.00000000    1.72833523e+01 
830.00000000    1.73313807e+01 
840.00000000    1.73725479e+01 
850.00000000    1.74274374e+01 
860.00000000    1.74823270e+01 
870.00000000    1.75372166e+01 
880.00000000    1.75921061e+01 
890.00000000    1.76469957e+01 
900.00000000    1.77018853e+01 
910.00000000    1.77567748e+01 
920.00000000    1.78116644e+01 
930.00000000    1.78665540e+01 
940.00000000    1.79214435e+01 
950.00000000    1.79763331e+01 
960.00000000    1.80312227e+01 
970.00000000    1.80998346e+01 
980.00000000    1.81615854e+01 
990.00000000    1.82164750e+01 
1000.00000000   1.82850869e+01 
1010.00000000   1.83468377e+01 
1020.00000000   1.84017273e+01 
1030.00000000   1.84703392e+01 
1040.00000000   1.85389512e+01 
1050.00000000   1.86075631e+01 
1060.00000000   1.86761751e+01 
1070.00000000   1.87447870e+01 
1080.00000000   1.88133990e+01 
1090.00000000   1.88820110e+01 
1100.00000000   1.89506229e+01 
1110.00000000   1.90192349e+01 
1120.00000000   1.90878468e+01 
1130.00000000   1.91633200e+01 
1140.00000000   1.92456543e+01 
1150.00000000   1.93142663e+01 
1160.00000000   1.93897395e+01 
1170.00000000   1.94720738e+01 
1180.00000000   1.95406858e+01 
1190.00000000   1.96161589e+01 
1200.00000000   1.96984933e+01 
1210.00000000   1.97808276e+01 
1220.00000000   1.98631620e+01 
1230.00000000   1.99454963e+01 
1240.00000000   2.00278307e+01 
1250.00000000   2.01101650e+01 
1260.00000000   2.01924994e+01 
1270.00000000   2.02748337e+01 
1280.00000000   2.03640293e+01 
1290.00000000   2.04600860e+01 
1300.00000000   2.05424204e+01 
