# : Super PIXIE 
 
# nu            Sensitivity    
 
9.60000000      9.03448922e-02 
12.00000000     9.03448922e-02 
14.40000000     9.03448922e-02 
16.80000000     9.03448922e-02 
19.20000000     9.03448922e-02 
21.60000000     9.03448922e-02 
24.00000000     9.03448922e-02 
26.40000000     9.03448922e-02 
28.80000000     9.03448922e-02 
31.20000000     9.03448922e-02 
33.60000000     9.03448922e-02 
36.00000000     9.03448922e-02 
38.40000000     9.03448922e-02 
19.20000000     3.90340301e-01 
38.40000000     3.90340301e-01 
57.60000000     3.90340301e-01 
76.80000000     3.93488207e-01 
96.10000000     3.93488207e-01 
115.30000000    3.93488207e-01 
134.50000000    3.93488207e-01 
153.70000000    3.93488207e-01 
172.90000000    3.96636112e-01 
192.10000000    3.96636112e-01 
211.30000000    3.96636112e-01 
230.50000000    3.96636112e-01 
249.80000000    3.99784018e-01 
269.00000000    3.99784018e-01 
288.20000000    4.02931923e-01 
307.40000000    4.02931923e-01 
326.60000000    4.06079829e-01 
345.80000000    4.06079829e-01 
365.00000000    4.09227735e-01 
384.20000000    4.09227735e-01 
403.40000000    4.12375640e-01 
422.70000000    4.15523546e-01 
441.90000000    4.15523546e-01 
461.10000000    4.18671452e-01 
480.30000000    4.21819357e-01 
499.50000000    4.24967263e-01 
518.70000000    4.28115169e-01 
537.90000000    4.28115169e-01 
557.10000000    4.31263074e-01 
576.40000000    4.34410980e-01 
595.60000000    4.37558886e-01 
403.40000000    4.06079829e-01 
461.10000000    4.12375640e-01 
518.70000000    4.19930614e-01 
576.40000000    4.28744750e-01 
634.00000000    4.38188467e-01 
691.60000000    4.48891346e-01 
749.30000000    4.60853387e-01 
806.90000000    4.73445010e-01 
864.50000000    4.87925376e-01 
922.20000000    5.03664904e-01 
979.80000000    5.20663595e-01 
1037.40000000   5.39551029e-01 
1095.10000000   5.59697625e-01 
1152.70000000   5.81103383e-01 
1210.30000000   6.05027466e-01 
1268.00000000   6.29581130e-01 
1325.60000000   6.61060187e-01 
1383.30000000   6.86243432e-01 
1440.90000000   7.17722489e-01 
1498.50000000   7.55497357e-01 
1556.20000000   7.93272224e-01 
1613.80000000   8.31047092e-01 
1671.40000000   8.75117771e-01 
1729.10000000   9.25484262e-01 
1786.70000000   9.69554941e-01 
1844.30000000   1.02621724e+00 
1902.00000000   1.08287954e+00 
1959.60000000   1.14583766e+00 
2017.20000000   1.21509158e+00 
2074.90000000   1.28434551e+00 
2132.50000000   1.35989524e+00 
2190.20000000   1.44174079e+00 
2247.80000000   1.52988215e+00 
2305.40000000   1.63061513e+00 
2363.10000000   1.73134811e+00 
2420.70000000   1.83837690e+00 
2478.30000000   1.95799732e+00 
2536.00000000   2.08391354e+00 
2593.60000000   2.21612558e+00 
2651.20000000   2.36092924e+00 
2708.90000000   2.51832452e+00 
2766.50000000   2.68201562e+00 
2824.10000000   2.86459414e+00 
2881.80000000   3.05346848e+00 
2939.40000000   3.25493444e+00 
2997.10000000   3.47528784e+00 
3054.70000000   3.70823286e+00 
3112.30000000   3.96006531e+00 
3170.00000000   4.23078520e+00 
3227.60000000   4.51409671e+00 
3285.20000000   4.82259146e+00 
3342.90000000   5.14997365e+00 
3400.50000000   5.50253908e+00 
3458.10000000   5.87399195e+00 
3515.80000000   6.27692387e+00 
3573.40000000   6.67355998e+00 
3631.00000000   7.17722489e+00 
3688.70000000   7.61793168e+00 
3746.30000000   8.18455470e+00 
3803.90000000   8.68821960e+00 
3861.60000000   9.31780073e+00 
3919.20000000   9.94738186e+00 
3976.90000000   1.06399211e+01 
4034.50000000   1.13324603e+01 
4092.10000000   1.20879577e+01 
4149.80000000   1.29064132e+01 
4207.40000000   1.37878268e+01 
4265.00000000   1.46692403e+01 
4322.70000000   1.56765701e+01 
4380.30000000   1.66839000e+01 
4437.90000000   1.78171460e+01 
4495.60000000   1.90133501e+01 
4553.20000000   2.02095543e+01 
4610.80000000   2.15946328e+01 
4668.50000000   2.29797113e+01 
4726.10000000   2.44907060e+01 
4783.80000000   2.60646588e+01 
4841.40000000   2.77645279e+01 
4899.00000000   2.95273550e+01 
4956.70000000   3.14160984e+01 
5014.30000000   3.34307580e+01 
5071.90000000   3.55713339e+01 
5129.60000000   3.78378259e+01 
5187.20000000   4.02302342e+01 
5244.80000000   4.27485588e+01 
5302.50000000   4.53927995e+01 
5360.10000000   4.82259146e+01 
5417.70000000   5.12479040e+01 
5475.40000000   5.43958097e+01 
5533.00000000   5.77325897e+01 
5590.70000000   6.12582440e+01 
5648.30000000   6.48468564e+01 
5705.90000000   6.86243432e+01 
5763.60000000   7.30314111e+01 
5821.20000000   7.74384790e+01 
5878.80000000   8.18455470e+01 
5936.50000000   8.68821960e+01 
5994.10000000   9.19188450e+01 
