# : Voyage 2050 
 
# nu            Sensitivity    
 
9.60000000      1.80689784e-02 
12.00000000     1.80689784e-02 
14.40000000     1.80689784e-02 
16.80000000     1.80689784e-02 
19.20000000     1.80689784e-02 
21.60000000     1.80689784e-02 
24.00000000     1.80689784e-02 
26.40000000     1.80689784e-02 
28.80000000     1.80689784e-02 
31.20000000     1.80689784e-02 
33.60000000     1.80689784e-02 
36.00000000     1.80689784e-02 
38.40000000     1.80689784e-02 
19.20000000     7.80680602e-02 
38.40000000     7.80680602e-02 
57.60000000     7.80680602e-02 
76.80000000     7.86976413e-02 
96.10000000     7.86976413e-02 
115.30000000    7.86976413e-02 
134.50000000    7.86976413e-02 
153.70000000    7.86976413e-02 
172.90000000    7.93272224e-02 
192.10000000    7.93272224e-02 
211.30000000    7.93272224e-02 
230.50000000    7.93272224e-02 
249.80000000    7.99568036e-02 
269.00000000    7.99568036e-02 
288.20000000    8.05863847e-02 
307.40000000    8.05863847e-02 
326.60000000    8.12159658e-02 
345.80000000    8.12159658e-02 
365.00000000    8.18455470e-02 
384.20000000    8.18455470e-02 
403.40000000    8.24751281e-02 
422.70000000    8.31047092e-02 
441.90000000    8.31047092e-02 
461.10000000    8.37342903e-02 
480.30000000    8.43638715e-02 
499.50000000    8.49934526e-02 
518.70000000    8.56230337e-02 
537.90000000    8.56230337e-02 
557.10000000    8.62526149e-02 
576.40000000    8.68821960e-02 
595.60000000    8.75117771e-02 
403.40000000    8.12159658e-02 
461.10000000    8.24751281e-02 
518.70000000    8.39861228e-02 
576.40000000    8.57489500e-02 
634.00000000    8.76376934e-02 
691.60000000    8.97782692e-02 
749.30000000    9.21706775e-02 
806.90000000    9.46890020e-02 
864.50000000    9.75850752e-02 
922.20000000    1.00732981e-01 
979.80000000    1.04132719e-01 
1037.40000000   1.07910206e-01 
1095.10000000   1.11939525e-01 
1152.70000000   1.16220677e-01 
1210.30000000   1.21005493e-01 
1268.00000000   1.25916226e-01 
1325.60000000   1.32212037e-01 
1383.30000000   1.37248686e-01 
1440.90000000   1.43544498e-01 
1498.50000000   1.51099471e-01 
1556.20000000   1.58654445e-01 
1613.80000000   1.66209418e-01 
1671.40000000   1.75023554e-01 
1729.10000000   1.85096852e-01 
1786.70000000   1.93910988e-01 
1844.30000000   2.05243449e-01 
1902.00000000   2.16575909e-01 
1959.60000000   2.29167531e-01 
2017.20000000   2.43018316e-01 
2074.90000000   2.56869101e-01 
2132.50000000   2.71979048e-01 
2190.20000000   2.88348158e-01 
2247.80000000   3.05976429e-01 
2305.40000000   3.26123026e-01 
2363.10000000   3.46269622e-01 
2420.70000000   3.67675380e-01 
2478.30000000   3.91599463e-01 
2536.00000000   4.16782708e-01 
2593.60000000   4.43225116e-01 
2651.20000000   4.72185848e-01 
2708.90000000   5.03664904e-01 
2766.50000000   5.36403123e-01 
2824.10000000   5.72918829e-01 
2881.80000000   6.10693697e-01 
2939.40000000   6.50986889e-01 
2997.10000000   6.95057568e-01 
3054.70000000   7.41646572e-01 
3112.30000000   7.92013062e-01 
3170.00000000   8.46157039e-01 
3227.60000000   9.02819341e-01 
3285.20000000   9.64518292e-01 
3342.90000000   1.02999473e+00 
3400.50000000   1.10050782e+00 
3458.10000000   1.17479839e+00 
3515.80000000   1.25538477e+00 
3573.40000000   1.33471200e+00 
3631.00000000   1.43544498e+00 
3688.70000000   1.52358634e+00 
3746.30000000   1.63691094e+00 
3803.90000000   1.73764392e+00 
3861.60000000   1.86356015e+00 
3919.20000000   1.98947637e+00 
3976.90000000   2.12798422e+00 
4034.50000000   2.26649207e+00 
4092.10000000   2.41759154e+00 
4149.80000000   2.58128263e+00 
4207.40000000   2.75756535e+00 
4265.00000000   2.93384807e+00 
4322.70000000   3.13531403e+00 
4380.30000000   3.33677999e+00 
4437.90000000   3.56342920e+00 
4495.60000000   3.80267003e+00 
4553.20000000   4.04191086e+00 
4610.80000000   4.31892655e+00 
4668.50000000   4.59594225e+00 
4726.10000000   4.89814119e+00 
4783.80000000   5.21293176e+00 
4841.40000000   5.55290557e+00 
4899.00000000   5.90547100e+00 
4956.70000000   6.28321968e+00 
5014.30000000   6.68615161e+00 
5071.90000000   7.11426677e+00 
5129.60000000   7.56756519e+00 
5187.20000000   8.04604685e+00 
5244.80000000   8.54971175e+00 
5302.50000000   9.07855990e+00 
5360.10000000   9.64518292e+00 
5417.70000000   1.02495808e+01 
5475.40000000   1.08791619e+01 
5533.00000000   1.15465179e+01 
5590.70000000   1.22516488e+01 
5648.30000000   1.29693713e+01 
5705.90000000   1.37248686e+01 
5763.60000000   1.46062822e+01 
5821.20000000   1.54876958e+01 
5878.80000000   1.63691094e+01 
5936.50000000   1.73764392e+01 
5994.10000000   1.83837690e+01 
